doj,srcid,destid,final_seatcount
2023-03-02,2,21,1085.0
2023-03-02,8,47,850.0
2023-03-02,47,6,1120.0
2023-03-02,41,36,1824.0
2023-03-02,2,1,1515.0
2023-03-02,37,36,60.0
2023-03-02,47,30,1800.0
2023-03-02,47,8,1135.0
2023-03-02,22,36,825.0
2023-03-02,6,47,875.0
2023-03-02,46,33,1120.0
2023-03-02,45,44,1315.0
2023-03-02,33,46,620.0
2023-03-02,21,2,1015.0
2023-03-02,36,22,870.0
2023-03-02,2,14,1120.0
2023-03-02,1,2,1040.0
2023-03-02,17,23,970.0
2023-03-02,4,29,725.0
2023-03-02,2,24,1180.0
2023-03-02,44,45,760.0
2023-03-02,47,10,830.0
2023-03-02,38,36,760.0
2023-03-02,19,30,1220.0
2023-03-03,45,46,3808.0
2023-03-03,46,45,3178.0
2023-03-03,45,47,4128.0
2023-03-03,47,45,3318.0
2023-03-03,46,9,6366.0
2023-03-03,9,46,4587.0
2023-03-03,46,48,5973.0
2023-03-03,48,46,4827.0
2023-03-03,45,9,3345.0
2023-03-03,9,45,2886.0
2023-03-03,47,5,2898.0
2023-03-03,5,47,1386.0
2023-03-03,46,44,2716.0
2023-03-03,46,35,3556.0
2023-03-03,45,28,2856.0
2023-03-03,35,46,2168.0
2023-03-03,44,46,1952.0
2023-03-03,2,40,3192.0
2023-03-03,11,36,1744.0
2023-03-03,19,32,2076.0
2023-03-03,36,11,3612.0
2023-03-03,28,45,700.0
2023-03-03,2,30,3432.0
2023-03-03,40,2,2004.0
2023-03-03,30,2,2404.0
2023-03-03,32,19,1036.0
2023-03-03,12,36,1956.0
2023-03-03,47,43,2652.0
2023-03-03,13,23,2064.0
2023-03-03,36,7,1492.0
2023-03-03,43,47,1232.0
2023-03-03,7,36,1312.0
2023-03-03,36,12,2108.0
2023-03-03,46,18,2148.0
2023-03-03,18,46,1776.0
2023-03-03,45,48,1828.0
2023-03-03,45,42,2220.0
2023-03-03,23,25,1976.0
2023-03-03,48,45,1928.0
2023-03-03,42,45,1224.0
2023-03-03,2,47,2280.0
2023-03-03,3,45,1004.0
2023-03-03,46,15,1932.0
2023-03-03,45,34,2075.0
2023-03-03,47,2,1790.0
2023-03-03,34,45,925.0
2023-03-03,47,28,1935.0
2023-03-03,45,3,1736.0
2023-03-03,47,46,1640.0
2023-03-03,2,16,2075.0
2023-03-03,25,23,828.0
2023-03-03,46,26,1620.0
2023-03-03,36,27,2580.0
2023-03-03,16,2,1280.0
2023-03-03,23,13,2325.0
2023-03-03,2,31,4044.0
2023-03-03,26,46,1760.0
2023-03-03,31,2,1504.0
2023-03-03,15,46,848.0
2023-03-03,30,14,2140.0
2023-03-03,2,19,2550.0
2023-03-03,28,47,1030.0
2023-03-03,47,3,1795.0
2023-03-03,45,5,2585.0
2023-03-03,36,37,438.0
2023-03-03,46,47,1745.0
2023-03-03,5,45,1120.0
2023-03-03,46,20,1590.0
2023-03-03,3,47,805.0
2023-03-03,20,46,1440.0
2023-03-03,19,2,1460.0
2023-03-03,27,36,840.0
2023-03-03,14,30,1250.0
2023-03-03,45,39,2200.0
2023-03-03,39,45,1236.0
2023-03-03,36,41,2716.0
2023-03-03,2,21,1740.0
2023-03-03,8,47,955.0
2023-03-03,47,6,1535.0
2023-03-03,41,36,2008.0
2023-03-03,2,1,1660.0
2023-03-03,37,36,64.0
2023-03-03,47,30,2280.0
2023-03-03,47,8,1850.0
2023-03-03,22,36,1670.0
2023-03-03,6,47,990.0
2023-03-03,46,33,1600.0
2023-03-03,45,44,1270.0
2023-03-03,33,46,950.0
2023-03-03,21,2,930.0
2023-03-03,36,22,1390.0
2023-03-03,2,14,1795.0
2023-03-03,1,2,935.0
2023-03-03,17,23,920.0
2023-03-03,4,29,990.0
2023-03-03,2,24,1775.0
2023-03-03,44,45,1080.0
2023-03-03,47,10,1155.0
2023-03-03,38,36,830.0
2023-03-03,19,30,1055.0
2023-03-04,45,46,3090.0
2023-03-04,46,45,2842.0
2023-03-04,45,47,3018.0
2023-03-04,47,45,2646.0
2023-03-04,46,9,3951.0
2023-03-04,9,46,4323.0
2023-03-04,46,48,5157.0
2023-03-04,48,46,4083.0
2023-03-04,45,9,2658.0
2023-03-04,9,45,2403.0
2023-03-04,47,5,2661.0
2023-03-04,5,47,1317.0
2023-03-04,46,44,2532.0
2023-03-04,46,35,2732.0
2023-03-04,45,28,1636.0
2023-03-04,35,46,1880.0
2023-03-04,44,46,1500.0
2023-03-04,2,40,2988.0
2023-03-04,11,36,1596.0
2023-03-04,19,32,2876.0
2023-03-04,36,11,4260.0
2023-03-04,28,45,1088.0
2023-03-04,2,30,3984.0
2023-03-04,40,2,2108.0
2023-03-04,30,2,2820.0
2023-03-04,32,19,1168.0
2023-03-04,12,36,2512.0
2023-03-04,47,43,1756.0
2023-03-04,13,23,2404.0
2023-03-04,36,7,1368.0
2023-03-04,43,47,1672.0
2023-03-04,7,36,1384.0
2023-03-04,36,12,2652.0
2023-03-04,46,18,1816.0
2023-03-04,18,46,1480.0
2023-03-04,45,48,1388.0
2023-03-04,45,42,1468.0
2023-03-04,23,25,2512.0
2023-03-04,48,45,1560.0
2023-03-04,42,45,1528.0
2023-03-04,2,47,1495.0
2023-03-04,3,45,1316.0
2023-03-04,46,15,1824.0
2023-03-04,45,34,1385.0
2023-03-04,47,2,1360.0
2023-03-04,34,45,845.0
2023-03-04,47,28,2425.0
2023-03-04,45,3,1260.0
2023-03-04,47,46,1795.0
2023-03-04,2,16,1505.0
2023-03-04,25,23,1328.0
2023-03-04,46,26,1445.0
2023-03-04,36,27,2732.0
2023-03-04,16,2,1620.0
2023-03-04,23,13,3435.0
2023-03-04,2,31,2348.0
2023-03-04,26,46,1525.0
2023-03-04,31,2,2156.0
2023-03-04,15,46,1380.0
2023-03-04,30,14,1708.0
2023-03-04,2,19,2040.0
2023-03-04,28,47,1260.0
2023-03-04,47,3,1385.0
2023-03-04,45,5,2015.0
2023-03-04,36,37,498.0
2023-03-04,46,47,1295.0
2023-03-04,5,45,1435.0
2023-03-04,46,20,1540.0
2023-03-04,3,47,1210.0
2023-03-04,20,46,1280.0
2023-03-04,19,2,1490.0
2023-03-04,27,36,1340.0
2023-03-04,14,30,1605.0
2023-03-04,45,39,1340.0
2023-03-04,39,45,792.0
2023-03-04,36,41,2572.0
2023-03-04,2,21,1710.0
2023-03-04,8,47,1110.0
2023-03-04,47,6,1385.0
2023-03-04,41,36,2472.0
2023-03-04,2,1,1475.0
2023-03-04,37,36,68.0
2023-03-04,47,30,2015.0
2023-03-04,47,8,1285.0
2023-03-04,22,36,1825.0
2023-03-04,6,47,985.0
2023-03-04,46,33,1470.0
2023-03-04,45,44,1115.0
2023-03-04,33,46,990.0
2023-03-04,21,2,1045.0
2023-03-04,36,22,1395.0
2023-03-04,2,14,1965.0
2023-03-04,1,2,1170.0
2023-03-04,17,23,1155.0
2023-03-04,4,29,1190.0
2023-03-04,2,24,1360.0
2023-03-04,44,45,1100.0
2023-03-04,47,10,1015.0
2023-03-04,38,36,990.0
2023-03-04,19,30,1610.0
2023-03-05,45,46,4144.0
2023-03-05,46,45,4100.0
2023-03-05,45,47,3184.0
2023-03-05,47,45,3926.0
2023-03-05,46,9,5148.0
2023-03-05,9,46,7047.0
2023-03-05,46,48,3969.0
2023-03-05,48,46,6612.0
2023-03-05,45,9,2658.0
2023-03-05,9,45,4086.0
2023-03-05,47,5,2286.0
2023-03-05,5,47,2700.0
2023-03-05,46,44,2004.0
2023-03-05,46,35,1984.0
2023-03-05,45,28,1280.0
2023-03-05,35,46,4892.0
2023-03-05,44,46,3312.0
2023-03-05,2,40,2432.0
2023-03-05,11,36,1100.0
2023-03-05,19,32,2928.0
2023-03-05,36,11,3640.0
2023-03-05,28,45,2532.0
2023-03-05,2,30,3644.0
2023-03-05,40,2,1296.0
2023-03-05,30,2,2616.0
2023-03-05,32,19,1252.0
2023-03-05,12,36,2692.0
2023-03-05,47,43,1856.0
2023-03-05,13,23,2632.0
2023-03-05,36,7,1232.0
2023-03-05,43,47,1568.0
2023-03-05,7,36,1456.0
2023-03-05,36,12,1764.0
2023-03-05,46,18,1468.0
2023-03-05,18,46,2020.0
2023-03-05,45,48,1368.0
2023-03-05,45,42,1860.0
2023-03-05,23,25,1720.0
2023-03-05,48,45,1916.0
2023-03-05,42,45,1940.0
2023-03-05,2,47,1550.0
2023-03-05,3,45,1700.0
2023-03-05,46,15,1340.0
2023-03-05,45,34,1380.0
2023-03-05,47,2,1715.0
2023-03-05,34,45,1750.0
2023-03-05,47,28,1840.0
2023-03-05,45,3,1124.0
2023-03-05,47,46,2140.0
2023-03-05,2,16,1785.0
2023-03-05,25,23,1472.0
2023-03-05,46,26,1650.0
2023-03-05,36,27,2140.0
2023-03-05,16,2,1745.0
2023-03-05,23,13,3005.0
2023-03-05,2,31,1900.0
2023-03-05,26,46,1950.0
2023-03-05,31,2,2512.0
2023-03-05,15,46,1856.0
2023-03-05,30,14,1140.0
2023-03-05,2,19,1530.0
2023-03-05,28,47,2070.0
2023-03-05,47,3,1160.0
2023-03-05,45,5,1370.0
2023-03-05,36,37,429.0
2023-03-05,46,47,1610.0
2023-03-05,5,45,2290.0
2023-03-05,46,20,1520.0
2023-03-05,3,47,1645.0
2023-03-05,20,46,1685.0
2023-03-05,19,2,1370.0
2023-03-05,27,36,1180.0
2023-03-05,14,30,1875.0
2023-03-05,45,39,1336.0
2023-03-05,39,45,2960.0
2023-03-05,36,41,2460.0
2023-03-05,2,21,1455.0
2023-03-05,8,47,2260.0
2023-03-05,47,6,1115.0
2023-03-05,41,36,1980.0
2023-03-05,2,1,1375.0
2023-03-05,37,36,38.0
2023-03-05,47,30,1850.0
2023-03-05,47,8,940.0
2023-03-05,22,36,1260.0
2023-03-05,6,47,1545.0
2023-03-05,46,33,1365.0
2023-03-05,45,44,1140.0
2023-03-05,33,46,2335.0
2023-03-05,21,2,1380.0
2023-03-05,36,22,1620.0
2023-03-05,2,14,1205.0
2023-03-05,1,2,1480.0
2023-03-05,17,23,1265.0
2023-03-05,4,29,1040.0
2023-03-05,2,24,1375.0
2023-03-05,44,45,1525.0
2023-03-05,47,10,945.0
2023-03-05,38,36,1005.0
2023-03-05,19,30,1475.0
2023-03-06,45,46,2714.0
2023-03-06,46,45,3244.0
2023-03-06,45,47,2548.0
2023-03-06,47,45,2612.0
2023-03-06,46,9,3156.0
2023-03-06,9,46,4866.0
2023-03-06,46,48,2637.0
2023-03-06,48,46,4218.0
2023-03-06,45,9,1743.0
2023-03-06,9,45,3051.0
2023-03-06,47,5,1701.0
2023-03-06,5,47,1719.0
2023-03-06,46,44,1368.0
2023-03-06,46,35,1472.0
2023-03-06,45,28,836.0
2023-03-06,35,46,2320.0
2023-03-06,44,46,1464.0
2023-03-06,2,40,1548.0
2023-03-06,11,36,1424.0
2023-03-06,19,32,2192.0
2023-03-06,36,11,3656.0
2023-03-06,28,45,1136.0
2023-03-06,2,30,2252.0
2023-03-06,40,2,788.0
2023-03-06,30,2,2216.0
2023-03-06,32,19,1136.0
2023-03-06,12,36,1944.0
2023-03-06,47,43,1340.0
2023-03-06,13,23,2496.0
2023-03-06,36,7,948.0
2023-03-06,43,47,948.0
2023-03-06,7,36,1100.0
2023-03-06,36,12,1608.0
2023-03-06,46,18,1004.0
2023-03-06,18,46,1380.0
2023-03-06,45,48,968.0
2023-03-06,45,42,1668.0
2023-03-06,23,25,2324.0
2023-03-06,48,45,1520.0
2023-03-06,42,45,1256.0
2023-03-06,2,47,1315.0
2023-03-06,3,45,1296.0
2023-03-06,46,15,740.0
2023-03-06,45,34,940.0
2023-03-06,47,2,965.0
2023-03-06,34,45,1200.0
2023-03-06,47,28,1485.0
2023-03-06,45,3,1084.0
2023-03-06,47,46,1645.0
2023-03-06,2,16,1510.0
2023-03-06,25,23,932.0
2023-03-06,46,26,1390.0
2023-03-06,36,27,2432.0
2023-03-06,16,2,1245.0
2023-03-06,23,13,3790.0
2023-03-06,2,31,1508.0
2023-03-06,26,46,1430.0
2023-03-06,31,2,2256.0
2023-03-06,15,46,1304.0
2023-03-06,30,14,1160.0
2023-03-06,2,19,1340.0
2023-03-06,28,47,1265.0
2023-03-06,47,3,1090.0
2023-03-06,45,5,1015.0
2023-03-06,36,37,402.0
2023-03-06,46,47,1130.0
2023-03-06,5,45,1590.0
2023-03-06,46,20,1300.0
2023-03-06,3,47,725.0
2023-03-06,20,46,1295.0
2023-03-06,19,2,1005.0
2023-03-06,27,36,695.0
2023-03-06,14,30,1045.0
2023-03-06,45,39,872.0
2023-03-06,39,45,1704.0
2023-03-06,36,41,2068.0
2023-03-06,2,21,1105.0
2023-03-06,8,47,1035.0
2023-03-06,47,6,1195.0
2023-03-06,41,36,2408.0
2023-03-06,2,1,1330.0
2023-03-06,37,36,50.0
2023-03-06,47,30,1365.0
2023-03-06,47,8,1005.0
2023-03-06,22,36,1135.0
2023-03-06,6,47,945.0
2023-03-06,46,33,780.0
2023-03-06,45,44,970.0
2023-03-06,33,46,1190.0
2023-03-06,21,2,960.0
2023-03-06,36,22,1030.0
2023-03-06,2,14,1195.0
2023-03-06,1,2,745.0
2023-03-06,17,23,1705.0
2023-03-06,4,29,820.0
2023-03-06,2,24,980.0
2023-03-06,44,45,955.0
2023-03-06,47,10,960.0
2023-03-06,38,36,580.0
2023-03-06,19,30,940.0
2023-03-07,45,46,2662.0
2023-03-07,46,45,2674.0
2023-03-07,45,47,2752.0
2023-03-07,47,45,2182.0
2023-03-07,46,9,3027.0
2023-03-07,9,46,3807.0
2023-03-07,46,48,2985.0
2023-03-07,48,46,3435.0
2023-03-07,45,9,1923.0
2023-03-07,9,45,2259.0
2023-03-07,47,5,1959.0
2023-03-07,5,47,1587.0
2023-03-07,46,44,1304.0
2023-03-07,46,35,1624.0
2023-03-07,45,28,1152.0
2023-03-07,35,46,1712.0
2023-03-07,44,46,1188.0
2023-03-07,2,40,944.0
2023-03-07,11,36,532.0
2023-03-07,19,32,2124.0
2023-03-07,36,11,1928.0
2023-03-07,28,45,692.0
2023-03-07,2,30,2108.0
2023-03-07,40,2,740.0
2023-03-07,30,2,1616.0
2023-03-07,32,19,1128.0
2023-03-07,12,36,984.0
2023-03-07,47,43,2000.0
2023-03-07,13,23,844.0
2023-03-07,36,7,1248.0
2023-03-07,43,47,836.0
2023-03-07,7,36,688.0
2023-03-07,36,12,1260.0
2023-03-07,46,18,1148.0
2023-03-07,18,46,1380.0
2023-03-07,45,48,1048.0
2023-03-07,45,42,1184.0
2023-03-07,23,25,548.0
2023-03-07,48,45,1164.0
2023-03-07,42,45,940.0
2023-03-07,2,47,1150.0
2023-03-07,3,45,972.0
2023-03-07,46,15,860.0
2023-03-07,45,34,800.0
2023-03-07,47,2,1320.0
2023-03-07,34,45,920.0
2023-03-07,47,28,1360.0
2023-03-07,45,3,1452.0
2023-03-07,47,46,1470.0
2023-03-07,2,16,1275.0
2023-03-07,25,23,1280.0
2023-03-07,46,26,1250.0
2023-03-07,36,27,976.0
2023-03-07,16,2,1870.0
2023-03-07,23,13,1050.0
2023-03-07,2,31,2104.0
2023-03-07,26,46,1215.0
2023-03-07,31,2,2816.0
2023-03-07,15,46,1336.0
2023-03-07,30,14,896.0
2023-03-07,2,19,1110.0
2023-03-07,28,47,1660.0
2023-03-07,47,3,1505.0
2023-03-07,45,5,1625.0
2023-03-07,36,37,258.0
2023-03-07,46,47,1655.0
2023-03-07,5,45,1060.0
2023-03-07,46,20,965.0
2023-03-07,3,47,1010.0
2023-03-07,20,46,1325.0
2023-03-07,19,2,1055.0
2023-03-07,27,36,300.0
2023-03-07,14,30,2130.0
2023-03-07,45,39,816.0
2023-03-07,39,45,1112.0
2023-03-07,36,41,2180.0
2023-03-07,2,21,1400.0
2023-03-07,8,47,1125.0
2023-03-07,47,6,1270.0
2023-03-07,41,36,1820.0
2023-03-07,2,1,1090.0
2023-03-07,37,36,14.0
2023-03-07,47,30,1180.0
2023-03-07,47,8,1005.0
2023-03-07,22,36,1355.0
2023-03-07,6,47,980.0
2023-03-07,46,33,755.0
2023-03-07,45,44,910.0
2023-03-07,33,46,750.0
2023-03-07,21,2,1345.0
2023-03-07,36,22,1365.0
2023-03-07,2,14,1035.0
2023-03-07,1,2,1355.0
2023-03-07,17,23,380.0
2023-03-07,4,29,660.0
2023-03-07,2,24,805.0
2023-03-07,44,45,855.0
2023-03-07,47,10,895.0
2023-03-07,38,36,300.0
2023-03-07,19,30,1035.0
2023-03-08,45,46,2806.0
2023-03-08,46,45,2584.0
2023-03-08,45,47,2756.0
2023-03-08,47,45,2144.0
2023-03-08,46,9,3795.0
2023-03-08,9,46,3744.0
2023-03-08,46,48,3708.0
2023-03-08,48,46,3048.0
2023-03-08,45,9,2199.0
2023-03-08,9,45,2118.0
2023-03-08,47,5,2457.0
2023-03-08,5,47,1698.0
2023-03-08,46,44,1432.0
2023-03-08,46,35,2096.0
2023-03-08,45,28,1260.0
2023-03-08,35,46,1504.0
2023-03-08,44,46,1276.0
2023-03-08,2,40,1480.0
2023-03-08,11,36,768.0
2023-03-08,19,32,468.0
2023-03-08,36,11,344.0
2023-03-08,28,45,800.0
2023-03-08,2,30,2668.0
2023-03-08,40,2,1600.0
2023-03-08,30,2,2164.0
2023-03-08,32,19,412.0
2023-03-08,12,36,1792.0
2023-03-08,47,43,1752.0
2023-03-08,13,23,2632.0
2023-03-08,36,7,636.0
2023-03-08,43,47,1092.0
2023-03-08,7,36,488.0
2023-03-08,36,12,776.0
2023-03-08,46,18,1280.0
2023-03-08,18,46,1268.0
2023-03-08,45,48,1284.0
2023-03-08,45,42,1204.0
2023-03-08,23,25,1072.0
2023-03-08,48,45,940.0
2023-03-08,42,45,1096.0
2023-03-08,2,47,1220.0
2023-03-08,3,45,1220.0
2023-03-08,46,15,1188.0
2023-03-08,45,34,950.0
2023-03-08,47,2,1245.0
2023-03-08,34,45,750.0
2023-03-08,47,28,1685.0
2023-03-08,45,3,1768.0
2023-03-08,47,46,1545.0
2023-03-08,2,16,1445.0
2023-03-08,25,23,1980.0
2023-03-08,46,26,1365.0
2023-03-08,36,27,332.0
2023-03-08,16,2,1865.0
2023-03-08,23,13,1435.0
2023-03-08,2,31,2244.0
2023-03-08,26,46,1415.0
2023-03-08,31,2,1844.0
2023-03-08,15,46,1140.0
2023-03-08,30,14,1404.0
2023-03-08,2,19,1305.0
2023-03-08,28,47,1370.0
2023-03-08,47,3,1350.0
2023-03-08,45,5,1905.0
2023-03-08,36,37,15.0
2023-03-08,46,47,1810.0
2023-03-08,5,45,1050.0
2023-03-08,46,20,1370.0
2023-03-08,3,47,1105.0
2023-03-08,20,46,1205.0
2023-03-08,19,2,970.0
2023-03-08,27,36,400.0
2023-03-08,14,30,1320.0
2023-03-08,45,39,1064.0
2023-03-08,39,45,832.0
2023-03-08,36,41,2432.0
2023-03-08,2,21,1540.0
2023-03-08,8,47,1010.0
2023-03-08,47,6,1435.0
2023-03-08,41,36,2352.0
2023-03-08,2,1,1400.0
2023-03-08,37,36,10.0
2023-03-08,47,30,1220.0
2023-03-08,47,8,1175.0
2023-03-08,22,36,405.0
2023-03-08,6,47,1240.0
2023-03-08,46,33,890.0
2023-03-08,45,44,890.0
2023-03-08,33,46,745.0
2023-03-08,21,2,1235.0
2023-03-08,36,22,720.0
2023-03-08,2,14,1255.0
2023-03-08,1,2,1240.0
2023-03-08,17,23,775.0
2023-03-08,4,29,600.0
2023-03-08,2,24,840.0
2023-03-08,44,45,900.0
2023-03-08,47,10,1105.0
2023-03-08,38,36,665.0
2023-03-08,19,30,1015.0
2023-03-09,45,46,3380.0
2023-03-09,46,45,2586.0
2023-03-09,45,47,3052.0
2023-03-09,47,45,2460.0
2023-03-09,46,9,4770.0
2023-03-09,9,46,4056.0
2023-03-09,46,48,4818.0
2023-03-09,48,46,2907.0
2023-03-09,45,9,2670.0
2023-03-09,9,45,1869.0
2023-03-09,47,5,2562.0
2023-03-09,5,47,1692.0
2023-03-09,46,44,1976.0
2023-03-09,46,35,2464.0
2023-03-09,45,28,1644.0
2023-03-09,35,46,1924.0
2023-03-09,44,46,1568.0
2023-03-09,2,40,1400.0
2023-03-09,11,36,1904.0
2023-03-09,19,32,1424.0
2023-03-09,36,11,1024.0
2023-03-09,28,45,764.0
2023-03-09,2,30,2100.0
2023-03-09,40,2,1448.0
2023-03-09,30,2,1600.0
2023-03-09,32,19,1252.0
2023-03-09,12,36,1748.0
2023-03-09,47,43,1376.0
2023-03-09,13,23,2952.0
2023-03-09,36,7,1340.0
2023-03-09,43,47,1128.0
2023-03-09,7,36,1004.0
2023-03-09,36,12,1448.0
2023-03-09,46,18,1848.0
2023-03-09,18,46,1276.0
2023-03-09,45,48,1516.0
2023-03-09,45,42,1500.0
2023-03-09,23,25,1172.0
2023-03-09,48,45,1096.0
2023-03-09,42,45,1240.0
2023-03-09,2,47,1405.0
2023-03-09,3,45,1308.0
2023-03-09,46,15,1564.0
2023-03-09,45,34,1135.0
2023-03-09,47,2,975.0
2023-03-09,34,45,720.0
2023-03-09,47,28,1945.0
2023-03-09,45,3,1480.0
2023-03-09,47,46,1715.0
2023-03-09,2,16,1305.0
2023-03-09,25,23,1524.0
2023-03-09,46,26,1465.0
2023-03-09,36,27,824.0
2023-03-09,16,2,1300.0
2023-03-09,23,13,2040.0
2023-03-09,2,31,1860.0
2023-03-09,26,46,1210.0
2023-03-09,31,2,1516.0
2023-03-09,15,46,828.0
2023-03-09,30,14,1300.0
2023-03-09,2,19,1305.0
2023-03-09,28,47,1110.0
2023-03-09,47,3,1485.0
2023-03-09,45,5,1670.0
2023-03-09,36,37,51.0
2023-03-09,46,47,1290.0
2023-03-09,5,45,1395.0
2023-03-09,46,20,1745.0
2023-03-09,3,47,1350.0
2023-03-09,20,46,1200.0
2023-03-09,19,2,1135.0
2023-03-09,27,36,1480.0
2023-03-09,14,30,1055.0
2023-03-09,45,39,1868.0
2023-03-09,39,45,712.0
2023-03-09,36,41,2148.0
2023-03-09,2,21,1215.0
2023-03-09,8,47,1245.0
2023-03-09,47,6,1480.0
2023-03-09,41,36,2056.0
2023-03-09,2,1,1095.0
2023-03-09,37,36,134.0
2023-03-09,47,30,1040.0
